date,code,name,entry_price,exit_price,qty,profit_loss,profit_loss_pct,exit_reason,entry_time,exit_time,mfe_pct,mae_pct,gap_from_open_pct
20250908,1443,技研ホールディングス,266.0,263.34,1500,-3990.0000000000373,-1.0000000000000093,損切り,09:33,09:35,0.3759,-1.8797,2.7
20250909,2301,学情,1753.0,1748.0,200,-1000.0,-0.2852253280091272,前場引け,09:34,11:30,1.0268,-0.9698,1.92
20250910,3671,ソフトマックス,346.0,352.92,1100,7612.000000000017,2.0000000000000044,利確,09:30,10:29,2.0231,-0.578,1.76
20250911,6140,旭ダイヤモンド工業,864.0,881.28,400,6911.999999999989,1.999999999999997,利確,09:30,10:40,2.4306,0.0,2.01
20250912,6535,アイモバイル,697.0,690.03,500,-3485.0000000000136,-1.0000000000000038,損切り,09:30,09:45,0.4304,-1.0043,0.58
20250916,4075,ブレインズテクノロジー,915.0,933.3000000000001,400,7320.000000000027,2.000000000000007,利確,09:30,11:06,2.0765,-0.8743,0.99
20250917,4544,Ｈ．Ｕ．グループホールディングス,3442.0,3510.84,100,6884.000000000015,2.000000000000004,利確,09:32,11:10,2.0337,-0.0291,1.24
20250918,7717,ブイ・テクノロジー,3415.0,3483.3,100,6830.000000000018,2.0000000000000053,利確,09:30,09:37,2.3426,-0.1464,2.55
20250919,5975,東プレ,2272.0,2254.0,100,-1800.0,-0.7922535211267605,前場引け,09:31,11:30,0.088,-0.9243,0.98
20250922,3844,コムチュア,1681.0,1672.0,200,-1800.0,-0.5353955978584176,前場引け,09:35,11:30,0.4759,-0.8328,2.13
20250924,7527,システムソフト,88.0,87.12,4500,-3959.9999999999795,-0.9999999999999948,損切り,09:30,09:31,1.1364,-1.1364,0.0
20250925,9031,西日本鉄道,2364.5,2357.0,100,-750.0,-0.3171917953055614,前場引け,09:31,11:30,0.2749,-0.4018,0.23
20250926,9759,ＮＳＤ,3611.0,3596.0,100,-1500.0,-0.4153973968429798,前場引け,09:30,11:30,0.9139,-0.4708,1.63
20250929,1518,三井松島ホールディングス,1339.0,1365.78,200,5355.9999999999945,1.999999999999998,利確,09:31,13:21,2.0164,-0.6721,0.45
20250930,4499,Ｓｐｅｅｅ,2215.0,2259.3,100,4430.000000000018,2.0000000000000084,利確,09:39,09:43,2.4379,-0.2709,2.07
20251001,6779,日本電波工業,953.0,943.47,400,-3811.999999999989,-0.9999999999999971,損切り,09:30,09:33,0.0,-1.1542,2.25
20251002,3719,ＡＩストーム,487.0,482.13,800,-3896.0000000000036,-1.0000000000000009,損切り,09:40,09:46,1.848,-1.232,1.25
20251003,9684,スクウェア・エニックス・ホールディングス,3289.0,3288.0,100,-100.0,-0.030404378230465188,前場引け,09:35,11:30,0.0912,-0.6385,1.14
20251006,6208,石川製作所,1682.0,1665.18,200,-3363.9999999999873,-0.9999999999999962,損切り,09:30,10:07,0.4756,-1.0107,1.14
20251007,3105,日清紡ホールディングス,1170.5,1193.91,300,7023.000000000025,2.000000000000007,利確,09:35,12:30,2.264,-0.2136,0.91
20251008,1861,熊谷組,1328.0,1345.0,300,5100.0,1.2801204819277108,大引け,09:30,15:30,1.506,-0.5271,2.87
20251009,4415,ブロードエンタープライズ,1320.0,1346.4,300,7920.000000000027,2.000000000000007,利確,09:35,09:59,3.0303,-0.6061,2.64
20251010,6268,ナブテスコ,3869.0,3830.31,100,-3869.0000000000055,-1.0000000000000013,損切り,09:33,09:39,0.1551,-1.4216,1.39
20251014,7599,ＩＤＯＭ,1080.0,1101.6,300,6479.999999999973,1.9999999999999918,利確,09:31,10:13,2.1296,-0.2778,0.75
