date,code,name,entry_price,exit_price,qty,profit_loss,profit_loss_pct,exit_reason,exit_time,mfe_pct,mae_pct,material_strength,volume_surge,gap_pct
20250409,3111,オーミケンシ,261.0,266.22,1500,7830.000000000041,2.0000000000000107,利確,10:31,7.6628,0.0,中,8.000686263296352,-0.3816793893129722
20250410,8144,デンキョーグループホールディングス,1148.0,1170.96,300,6888.000000000011,2.000000000000003,利確,10:07,2.6132,0.0,中,6.95906432748538,1.5030946065428763
20250411,2122,インタースペース,898.0,915.96,400,7184.000000000015,2.000000000000004,利確,12:43,4.5657,0.0,中,9.25813449023861,-9.657947686116696
20250414,5952,アマテイ,157.0,160.14000000000001,2500,7850.000000000037,2.0000000000000093,利確,12:36,10.1911,0.0,中,10.977289507627985,-3.0864197530864224
20250415,4391,ロジザード,1275.0,1262.25,300,-3825.0,-1.0,損切り,09:58,0.0,-2.3529,中,11.279091188210009,4.166666666666674
20250416,6085,アーキテクツ・スタジオ・ジャパン,158.0,161.16,2500,7899.999999999992,1.999999999999998,利確,09:01,2.5316,0.0,中,13.635304912478825,-1.8633540372670843
20250417,9241,フューチャーリンクネットワーク,1242.0,1266.84,300,7451.999999999975,1.9999999999999933,利確,13:37,4.6699,0.0,中,14.875484228002213,3.3277870216306127
20250418,4255,ＴＨＥＣＯＯ,806.0,822.12,400,6448.000000000002,2.000000000000001,利確,09:32,3.7221,0.0,中,13.884553283100107,-2.8915662650602414
20250421,4351,山田再生系債権回収総合事務所,876.0,893.52,400,7007.999999999993,1.999999999999998,利確,13:21,3.4247,0.0,中,14.890396659707724,1.2716763005780285
20250422,4243,ニックス,730.0,722.7,500,-3649.9999999999773,-0.9999999999999938,損切り,11:10,0.0,-1.6438,中,17.628288543140027,-8.060453400503775
20250423,4288,アズジェント,457.0,452.43,800,-3655.9999999999945,-0.9999999999999984,損切り,09:35,0.0,-1.7505,中,19.265412553548146,-14.738805970149249
20250424,2195,アミタホールディングス,312.0,318.24,1200,7488.000000000011,2.0000000000000027,利確,13:40,4.8077,0.0,中,15.392865122514335,-3.4055727554179516
20250425,9219,ギックス,970.0,960.3,400,-3880.000000000018,-1.0000000000000047,損切り,10:34,0.2062,-2.0619,中,13.73556283399414,4.413347685683533
20250428,5906,エムケー精工,461.0,456.39,800,-3688.000000000011,-1.0000000000000029,損切り,09:26,0.2169,-1.0846,中,14.102759276879162,1.9911504424778848
20250430,5242,アイズ,1254.0,1279.08,300,7523.999999999978,1.9999999999999942,利確,09:36,2.0734,-0.0797,中,14.889267461669506,-19.3050193050193
20250602,7078,ＩＮＣＬＵＳＩＶＥ　Ｈｏｌｄｉｎｇｓ,511.0,521.22,700,7154.000000000019,2.0000000000000053,利確,12:42,11.546,-0.3914,中,13.815140021821582,-5.1948051948051965
20250603,6054,リブセンス,148.0,150.96,2700,7992.000000000022,2.0000000000000053,利確,11:30,2.027,-0.6757,中,11.473404653250542,-6.329113924050633
20250604,4427,ＥｄｕＬａｂ,277.0,282.54,1400,7756.000000000029,2.000000000000007,利確,11:15,6.1372,-0.361,中,13.522258295273208,-22.408963585434172
20250605,5248,テクノロジーズ,722.0,714.78,500,-3610.0000000000136,-1.0000000000000038,損切り,10:06,0.0,-1.2465,中,10.921508878848377,-9.41028858218319
20250606,7709,クボテック,195.0,198.9,2000,7800.000000000011,2.0000000000000027,利確,09:18,2.5641,0.0,中,14.005141388174808,-9.302325581395355
20250609,5928,アルメタックス,259.0,264.18,1500,7770.00000000001,2.0000000000000027,利確,10:32,3.0888,-0.3861,中,16.06569615528182,-11.904761904761907
20250611,3674,オークファン,368.0,375.36,1000,7360.000000000014,2.000000000000004,利確,10:54,2.7174,-0.2717,中,15.116853192890058,-3.9164490861618773
20250612,3841,ジーダット,1294.0,1281.06,300,-3882.0000000000164,-1.0000000000000042,損切り,09:06,0.0,-2.5502,中,15.268368942157371,-15.203145478374836
20250613,2983,アールプランナー,1765.0,1747.35,200,-3530.000000000018,-1.0000000000000053,損切り,09:36,0.0,-2.0963,中,14.81850238539722,3.6406341749853244
20250616,5856,エルアイイーエイチ,44.0,44.88,9000,7920.000000000023,2.0000000000000058,利確,09:01,2.2727,0.0,中,14.201893738629687,-35.29411764705882
20250617,7325,アイリックコーポレーション,787.0,802.74,500,7870.000000000005,2.000000000000001,利確,09:15,2.7954,-0.1271,中,13.910645339216767,-2.2360248447204967
20250619,9244,デジタリフト,871.0,888.42,400,6967.999999999984,1.9999999999999951,利確,09:20,3.0999,-0.5741,中,18.798035249927768,-4.912663755458513
20250620,4594,ブライトパス・バイオ,48.0,48.96,8300,7968.000000000007,2.0000000000000018,利確,09:00,2.0833,0.0,中,17.7834280724504,0.0
20250623,9130,共栄タンカー,1110.0,1098.9,300,-3329.9999999999727,-0.9999999999999919,損切り,09:09,0.6306,-1.7117,中,17.2643638257247,-7.499999999999996
20250625,2721,ジェイホールディングス,198.0,196.02,2000,-3959.9999999999795,-0.9999999999999948,損切り,09:01,0.0,-1.0101,中,12.260621706958933,0.0
20250627,7111,ＩＮＥＳＴ,57.0,56.43,7000,-3990.000000000002,-1.0000000000000004,損切り,09:06,10.5263,-1.7544,中,16.097330181275304,-21.91780821917808
20250630,6347,プラコー,196.0,199.92000000000002,2000,7840.000000000032,2.000000000000008,利確,10:18,2.0408,0.0,中,14.095889034073776,-20.32520325203252
20250701,3917,アイリッジ,563.0,557.37,700,-3940.999999999997,-0.9999999999999991,損切り,09:18,0.3552,-3.0195,中,10.654205607476635,6.831119544592035
20250702,7477,ムラキ,1329.0,1355.58,300,7973.999999999978,1.9999999999999944,利確,12:54,4.4394,-0.0752,中,17.288023754536457,2.467232074016956
20250703,7837,アールシーコア,372.0,379.44,1000,7439.999999999998,1.9999999999999993,利確,15:03,2.1505,0.0,中,15.241682360326427,-17.699115044247794
20250707,9419,ワイヤレスゲート,251.0,256.02,1500,7529.999999999973,1.9999999999999927,利確,09:00,6.7729,0.0,中,16.966898849790233,-11.61971830985915
20250708,4760,アルファ,1749.0,1731.51,200,-3498.000000000002,-1.0000000000000004,損切り,09:12,1.7724,-2.287,中,13.682403433476397,4.7305389221556915
20250709,7093,アディッシュ,585.0,596.7,600,7020.000000000027,2.0000000000000075,利確,11:00,4.1026,0.0,中,13.63533408833522,-4.878048780487809
20250710,3490,アズ企画設計,2825.0,2796.75,100,-2825.0,-1.0,損切り,09:18,0.0,-2.6549,中,14.822988505747126,1.728483975513151
20250711,9363,大運,415.0,423.3,900,7470.00000000001,2.0000000000000027,利確,10:28,4.8193,0.0,中,13.98427260812582,-9.97830802603037
20250714,3550,スタジオアタオ,225.0,222.75,1700,-3825.0,-1.0,損切り,09:05,0.8889,-2.2222,中,14.075816270060876,0.8968609865470878
20250715,4317,レイ,536.0,546.72,700,7504.000000000019,2.0000000000000053,利確,09:22,2.2388,-0.1866,中,17.326307255776246,2.6819923371647514
20250716,3547,ユニシアホールディングス,1749.0,1783.98,200,6996.000000000004,2.000000000000001,利確,09:18,2.7444,-0.2287,中,16.588611859838274,2.0420070011668567
20250717,6721,ウインテスト,107.0,109.14,3700,7918.000000000002,2.0000000000000004,利確,09:43,2.8037,-0.9346,中,15.2876992214992,-31.41025641025641
20250718,5380,新東,1619.0,1651.38,200,6476.000000000022,2.0000000000000067,利確,10:55,6.7943,0.0,中,15.582608695652176,-10.05555555555555
20250722,5952,アマテイ,168.0,171.36,2300,7728.000000000031,2.000000000000008,利確,10:38,2.9762,-0.5952,中,16.536881717785374,-18.048780487804883
20250723,3137,ファンデリー,403.0,411.06,900,7254.000000000002,2.000000000000001,利確,09:57,5.2109,-0.4963,中,10.878105220172872,-15.513626834381554
20250724,6537,ＷＡＳＨハウス,435.0,430.65,900,-3915.0000000000205,-1.0000000000000053,損切り,09:04,0.2299,-1.1494,中,18.305459708441333,-9.937888198757761
